Samples,TimeSeconds,TimeDays,Benchmark_alpha0.02,Manuscript_alpha1e-6
1594,1594,0.018449074074074073,0.99999999999998967,0.0015927310525234439
1660,1660,0.019212962962962963,0.99999999999999722,0.0016586237907378898
1728,1728,0.02,0.99999999999999933,0.0017265087301504556
1799,1799,0.020821759259259259,0.99999999999999989,0.0017973836673801369
1873,1873,0.021678240740740741,1,0.0018712479649103386
1950,1950,0.022569444444444444,1,0.0019481009583675046
2030,2030,0.023495370370370371,1,0.0020279419565311096
2113,2113,0.024456018518518519,1,0.0021107702413438734
2200,2200,0.025462962962962962,1,0.0021975828713375334
2291,2291,0.026516203703703705,1,0.0022883788054192111
2385,2385,0.027604166666666666,1,0.0023821593369504068
2483,2483,0.028738425925925924,1,0.002479921143812347
2585,2585,0.02991898148148148,1,0.0025816630538039176
2692,2692,0.031157407407407408,1,0.0026883811596988272
2802,2802,0.032430555555555553,1,0.0027980794591064839
2917,2917,0.033761574074074076,1,0.0029127511435595999
3037,3037,0.03515046296296296,1,0.0030323944945028769
3162,3162,0.036597222222222225,1,0.0031570077190125057
3292,3292,0.038101851851851852,1,0.0032865889498409073
3428,3428,0.039675925925925927,1,0.0034221328243271287
3569,3569,0.04130787037037037,1,0.0035626404678351653
3715,3715,0.042997685185185187,1,0.0037081097755478076
3868,3868,0.04476851851851852,1,0.0038605308504575664
4027,4027,0.046608796296296294,1,0.004018904514203725
4193,4193,0.04853009259259259,1,0.0041842237368436841
4365,4365,0.050520833333333334,1,0.0043554894067289185
4545,4545,0.052604166666666667,1,0.0045346893797594268
4732,4732,0.054768518518518522,1,0.0047208240817810943
4926,4926,0.057013888888888892,1,0.0049138896104857777
5129,5129,0.059363425925925924,1,0.0051158716900169265
5339,5339,0.061793981481481484,1,0.0053247755257495033
5559,5559,0.064340277777777774,1,0.0055435801151551001
5788,5788,0.06699074074074074,1,0.0057712846760002989
6026,6026,0.069745370370370374,1,0.0060078830722274379
6273,6273,0.072604166666666664,1,0.006253368929107217
6531,6531,0.075590277777777784,1,0.0065097226170600653
6800,6800,0.078703703703703706,1,0.0067769356935202252
7079,7079,0.081932870370370364,1,0.0070540064138422398
7371,7371,0.085312499999999999,1,0.0073439044617520377
7674,7674,0.088819444444444451,1,0.0076446338462708985
7989,7989,0.092465277777777771,1,0.0079571767148036709
8318,8318,0.096273148148148149,1,0.0082835052828451605
8660,8660,0.10023148148148148,1,0.0086226145026209178
9016,9016,0.10435185185185185,1,0.0089754822141226986
9386,9386,0.10863425925925926,1,0.0093420936417232259
9772,9772,0.11310185185185186,1,0.0097244139921740524
10174,10174,0.11775462962962963,1,0.010122424971199306
10593,10593,0.12260416666666667,1,0.010537097002627061
11028,11028,0.12763888888888889,1,0.010967419978571979
11482,11482,0.13289351851851852,1,0.011416339082026883
11954,11954,0.13835648148148147,1,0.011882840700201736
12445,12445,0.14403935185185185,1,0.012367887379250986
12957,12957,0.14996527777777777,1,0.012873425844805775
13490,13490,0.15613425925925925,1,0.013399424380782565
14044,14044,0.1625462962962963,1,0.013945849999032367
14622,14622,0.16923611111111111,1,0.014515624901827118
15223,15223,0.17619212962962963,1,0.015107723363917414
15849,15849,0.1834375,1,0.015724073299626662
16501,16501,0.1909837962962963,1,0.016365612360162873
17179,17179,0.19883101851851853,1,0.017032290778818737
17885,17885,0.20700231481481482,1,0.017726021412685422
18621,18621,0.21552083333333333,1,0.018448709440473166
19387,19387,0.22438657407407409,1,0.019200290212668558
20184,20184,0.2336111111111111,1,0.01998167654826799
