Task,Model,ProgressPercent,CumulativeMAE_pct
SOC,Pruned,82,2.064709133719381
SOC,Pruned,83,2.0859160065806921
SOC,Pruned,84,2.1049064925973737
SOC,Pruned,85,2.1143199397232224
SOC,Pruned,86,2.1138399083277672
SOC,Pruned,87,2.1321259157188281
SOC,Pruned,88,2.1508992074447937
SOC,Pruned,89,2.1707041254586015
SOC,Pruned,90,2.1935260726997208
SOC,Pruned,91,2.2140572109023378
SOC,Pruned,92,2.2239986689967788
SOC,Pruned,93,2.2226018967017187
SOC,Pruned,94,2.2437051310171205
SOC,Pruned,95,2.2658092701070616
SOC,Pruned,96,2.2865899708388797
SOC,Pruned,97,2.3073903251813088
SOC,Pruned,98,2.3292316828373671
SOC,Pruned,99,2.3450258701822726
SOC,Pruned,100,2.3379610965312088
SOC,Quantized,1,1.5241053316380782
SOC,Quantized,2,1.2201677242896687
SOC,Quantized,3,1.1198560690466419
SOC,Quantized,4,1.0812674118555334
SOC,Quantized,5,1.2170369461464987
SOC,Quantized,6,1.348431011296235
SOC,Quantized,7,1.3232733306832805
SOC,Quantized,8,1.2780462915406674
SOC,Quantized,9,1.2498916776600901
SOC,Quantized,10,1.2340175764129773
SOC,Quantized,11,1.2275863982700836
SOC,Quantized,12,1.2527901482978006
SOC,Quantized,13,1.3042180989559986
SOC,Quantized,14,1.3142817293026126
SOC,Quantized,15,1.3037353292049529
SOC,Quantized,16,1.3006479507383542
SOC,Quantized,17,1.3034421728539871
SOC,Quantized,18,1.3090063340373468
SOC,Quantized,19,1.3186645701381046
SOC,Quantized,20,1.3561589612070699
SOC,Quantized,21,1.3700724189101721
SOC,Quantized,22,1.3808939986746875
SOC,Quantized,23,1.3867745488410244
SOC,Quantized,24,1.3964474939376976
SOC,Quantized,25,1.408216834260333
SOC,Quantized,26,1.4237390138173036
SOC,Quantized,27,1.4342305251791965
SOC,Quantized,28,1.4352486761530183
SOC,Quantized,29,1.4544455913724814
SOC,Quantized,30,1.4650658314535199
SOC,Quantized,31,1.4796683045309995
SOC,Quantized,32,1.4967507506897371
SOC,Quantized,33,1.5161746933488147
SOC,Quantized,34,1.5282561454586294
SOC,Quantized,35,1.5187594356581531
SOC,Quantized,36,1.5376767558308144
SOC,Quantized,37,1.5567111217416667
SOC,Quantized,38,1.5763032290828487
SOC,Quantized,39,1.5980730701341428
SOC,Quantized,40,1.6202805552066373
SOC,Quantized,41,1.6378663564011582
SOC,Quantized,42,1.6215856815865299
SOC,Quantized,43,1.63160287648631
SOC,Quantized,44,1.6551285285869184
SOC,Quantized,45,1.6769347437095232
SOC,Quantized,46,1.7006082101424074
SOC,Quantized,47,1.7252720088135984
SOC,Quantized,48,1.7528804171239389
SOC,Quantized,49,1.7395977218305929
SOC,Quantized,50,1.7389812383552479
SOC,Quantized,51,1.7622866166189612
SOC,Quantized,52,1.7887006730900294
SOC,Quantized,53,1.809731086850201
SOC,Quantized,54,1.8331257277182336
