"Task","Variant","ValueName","BinCenter","Density"
"SOC","Base","Weight","1.221667029","0.005549903343238567"
"SOC","Base","Weight","1.2518316470000002","0.0073998711243180894"
"SOC","Base","Weight","1.2819962649999999","0"
"SOC","Base","Weight","1.312160883","0.005549903343238567"
"SOC","Base","Weight","1.3423255010000001","0.073998711243180901"
"SOC","Pruned","Weight","-1.3423255009999999","0.14806190938069139"
"SOC","Pruned","Weight","-1.312160883","0.010833798247367663"
"SOC","Pruned","Weight","-1.2819962650000001","0.0072225321649117746"
"SOC","Pruned","Weight","-1.2518316469999999","0"
"SOC","Pruned","Weight","-1.221667029","0.0072225321649117746"
"SOC","Pruned","Weight","-1.1915024110000001","0.0036112660824558873"
"SOC","Pruned","Weight","-1.161337793","0.0036112660824558873"
"SOC","Pruned","Weight","-1.131173175","0.0036112660824558873"
"SOC","Pruned","Weight","-1.1010085570000001","0"
"SOC","Pruned","Weight","-1.070843939","0.0072225321649117746"
"SOC","Pruned","Weight","-1.040679321","0.0036112660824558873"
"SOC","Pruned","Weight","-1.0105147029999999","0.010833798247367663"
"SOC","Pruned","Weight","-0.98035008499999998","0.0036112660824558873"
"SOC","Pruned","Weight","-0.95018546700000006","0.0072225321649117746"
"SOC","Pruned","Weight","-0.92002084899999992","0.010833798247367663"
"SOC","Pruned","Weight","-0.889856231","0.0036112660824558873"
"SOC","Pruned","Weight","-0.85969161299999997","0"
"SOC","Pruned","Weight","-0.82952699499999993","0.0036112660824558873"
"SOC","Pruned","Weight","-0.79936237700000001","0.0036112660824558873"
"SOC","Pruned","Weight","-0.76919775899999998","0.021667596494735326"
"SOC","Pruned","Weight","-0.73903314099999995","0.0036112660824558873"
"SOC","Pruned","Weight","-0.70886852300000003","0.0072225321649117746"
"SOC","Pruned","Weight","-0.678703905","0.010833798247367663"
"SOC","Pruned","Weight","-0.64853928699999996","0.032501394742102986"
"SOC","Pruned","Weight","-0.61837466899999993","0.0036112660824558873"
"SOC","Pruned","Weight","-0.58821005100000001","0.018056330412279439"
"SOC","Pruned","Weight","-0.55804543299999998","0.018056330412279439"
"SOC","Pruned","Weight","-0.52788081499999995","0.021667596494735326"
"SOC","Pruned","Weight","-0.49771619700000003","0.057780257319294197"
"SOC","Pruned","Weight","-0.46755157899999999","0.046946459071926537"
"SOC","Pruned","Weight","-0.43738696099999996","0.072225321649117755"
"SOC","Pruned","Weight","-0.40722234299999993","0.083059119896485414"
"SOC","Pruned","Weight","-0.37705772500000001","0.10472671639122073"
"SOC","Pruned","Weight","-0.34689310699999987","0.18056330412279437"
