"Task","Variant","ValueName","BinCenter","Density"
"SOH","W_ih","Absolute reconstruction error","0.0091219407600000059","19.751913106043883"
"SOH","W_ih","Absolute reconstruction error","0.0092702650000000067","21.946570117826536"
"SOH","W_ih","Absolute reconstruction error","0.0094185892400000058","17.557256094261227"
"SOH","W_ih","Absolute reconstruction error","0.0095669134800000066","19.751913106043883"
"SOH","W_ih","Absolute reconstruction error","0.0097152377200000056","10.973285058913268"
"SOH","W_ih","Absolute reconstruction error","0.0098635619600000064","15.362599082478575"
"SOH","W_ih","Absolute reconstruction error","0.010011886200000007","8.7786280471306135"
"SOH","W_ih","Absolute reconstruction error","0.010160210440000006","10.973285058913268"
"SOH","W_ih","Absolute reconstruction error","0.010308534680000007","8.7786280471306135"
"SOH","W_ih","Absolute reconstruction error","0.010456858920000006","8.7786280471306135"
"SOH","W_ih","Absolute reconstruction error","0.010605183160000007","13.16794207069592"
"SOH","W_ih","Absolute reconstruction error","0.010753507400000008","13.16794207069592"
"SOH","W_ih","Absolute reconstruction error","0.010901831640000007","10.973285058913268"
"SOH","W_ih","Absolute reconstruction error","0.011050155880000008","8.7786280471306135"
"SOH","W_ih","Absolute reconstruction error","0.011198480120000007","10.973285058913268"
"SOH","W_ih","Absolute reconstruction error","0.011346804360000007","4.3893140235653068"
"SOH","W_ih","Absolute reconstruction error","0.011495128600000008","2.1946570117826534"
"SOH","W_ih","Absolute reconstruction error","0.011643452840000007","4.3893140235653068"
"SOH","W_ih","Absolute reconstruction error","0.011791777080000008","76.812995412392866"
"SOH","W_hh","Absolute reconstruction error","7.7442882499999951E-05","147.57757767878161"
"SOH","W_hh","Absolute reconstruction error","0.00023232864749999987","100.09266950710422"
"SOH","W_hh","Absolute reconstruction error","0.00038721441249999974","94.378717901383695"
"SOH","W_hh","Absolute reconstruction error","0.00054210017749999962","101.27486639104639"
"SOH","W_hh","Absolute reconstruction error","0.0006969859424999996","95.560914785325878"
"SOH","W_hh","Absolute reconstruction error","0.00085187170749999948","89.058831923643908"
"SOH","W_hh","Absolute reconstruction error","0.0010067574724999995","96.053496820301788"
"SOH","W_hh","Absolute reconstruction error","0.0011616432374999992","98.811956216166863"
"SOH","W_hh","Absolute reconstruction error","0.0013165290024999992","99.994153100109031"
"SOH","W_hh","Absolute reconstruction error","0.001471414767499999","95.068332750349967"
"SOH","W_hh","Absolute reconstruction error","0.001626300532499999","93.689103052417437"
"SOH","W_hh","Absolute reconstruction error","0.001781186297499999","98.713439809171675"
"SOH","W_hh","Absolute reconstruction error","0.0019360720624999987","94.57575071537407"
"SOH","W_hh","Absolute reconstruction error","0.0020909578274999987","94.969816343354793"
"SOH","W_hh","Absolute reconstruction error","0.0022458435924999987","95.265365564340328"
"SOH","W_hh","Absolute reconstruction error","0.0024007293574999987","93.196521017441526"
"SOH","W_hh","Absolute reconstruction error","0.0025556151224999982","98.220857774195778"
"SOH","W_hh","Absolute reconstruction error","0.0027105008874999982","99.994153100109031"
"SOH","W_hh","Absolute reconstruction error","0.0028653866524999982","98.023824960205417"
"SOH","W_hh","Absolute reconstruction error","0.0030202724174999982","95.068332750349967"
"SOH","W_hh","Absolute reconstruction error","0.0031751581824999982","96.349046041287323"
"SOH","W_hh","Absolute reconstruction error","0.0033300439474999977","99.008989030157224"
"SOH","W_hh","Absolute reconstruction error","0.0034849297124999977","103.93480937991629"
"SOH","W_hh","Absolute reconstruction error","0.0036398154774999977","97.137177297248783"
"SOH","W_hh","Absolute reconstruction error","0.0037947012424999977","95.560914785325878"
"SOH","W_hh","Absolute reconstruction error","0.0039495870074999972","93.393553831431888"
"SOH","W_hh","Absolute reconstruction error","0.0041044727724999976","97.334210111239145"
"SOH","W_hh","Absolute reconstruction error","0.0042593585374999972","99.79712028611867"
"SOH","W_hh","Absolute reconstruction error","0.0044142443024999976","92.802455389460803"
"SOH","W_hh","Absolute reconstruction error","0.0045691300674999972","92.40838976148008"
"SOH","W_hh","Absolute reconstruction error","0.0047240158324999967","95.46239837833069"
"SOH","W_hh","Absolute reconstruction error","0.0048789015974999971","99.206021844147585"
"SOH","W_hh","Absolute reconstruction error","0.0050337873624999967","99.501571065133135"
"SOH","W_hh","Absolute reconstruction error","0.0051886731274999971","97.531242925229506"
"SOH","W_hh","Absolute reconstruction error","0.0053435588924999966","97.826792146215041"
"SOH","W_hh","Absolute reconstruction error","0.0054984446574999962","98.713439809171675"
