"Task","HiddenSize","PrunedHiddenSize","TotalMACs","MACReductionPct"
"SOH","420","294","769568","49.2494490415402"
"SOH","430","301","805088","49.2870344608291"
"SOH","440","308","841408","49.3230394766867"
"SOH","450","315","878528","49.3575617396372"
"SOH","460","322","916448","49.3906910157478"
"SOH","470","329","955168","49.4225099668331"
"SOH","480","336","994688","49.453094839789"
"SOH","490","343","1035008","49.4825160771704"
"SOH","500","350","1076128","49.5108388593179"
"SOH","510","357","1118048","49.5381235868227"
"SOH","520","364","1160768","49.5644263108563"
"SOH","530","371","1204288","49.589799117819"
"SOH","540","378","1248608","49.6142904738717"
"SOH","550","385","1293728","49.6379455341463"
"SOH","560","392","1339648","49.6608064207911"
"SOH","570","399","1386368","49.6829124734558"
"SOH","580","406","1433888","49.7043004753509"
"SOH","590","413","1482208","49.7250048576178"
"SOH","600","420","1531328","49.7450578843984"
"SOH","610","427","1581248","49.7644898206986"
"SOH","620","434","1631968","49.783329084884"
"SOH","630","441","1683488","49.8016023874242"
"SOH","640","448","1735808","49.8193348573114"
"SOH","650","455","1788928","49.8365501574127"
"SOH","660","462","1842848","49.8532705898696"
"SOH","670","469","1897568","49.8695171925328"
"SOH","680","476","1953088","49.8853098273094"
"SOH","690","483","2009408","49.9006672612033"
"SOH","700","490","2066528","49.9156072407439"
"SOH","710","497","2124448","49.9301465604242"
"SOH","720","504","2183168","49.9443011257036"
"SOH","730","511","2242688","49.9580860110724"
"SOH","740","518","2303008","49.9715155136239"
"SOH","750","525","2364128","49.9846032025339"
"SOH","760","532","2426048","49.9973619648086"
"SOH","770","539","2488768","50.0098040476252"
"SOH","780","546","2552288","50.0219410975564"
"SOH","790","553","2616608","50.033784196945"
"SOH","800","560","2681728","50.045343897666"
"SOH","810","567","2747648","50.0566302524923"
"SOH","820","574","2814368","50.067652844262"
"SOH","830","581","2881888","50.0784208130226"
"SOH","840","588","2950208","50.0889428813155"
"SOH","850","595","3019328","50.0992273777476"
"SOH","860","602","3089248","50.1092822589834"
"SOH","870","609","3159968","50.1191151302798"
"SOH","880","616","3231488","50.1287332646756"
"SOH","890","623","3303808","50.1381436209368"
"SOH","900","630","3376928","50.1473528603512"
"SOH","910","637","3450848","50.156367362457"
"SOH","920","644","3525568","50.1651932397843"
"SOH","930","651","3601088","50.1738363516804"
"SOH","940","658","3677408","50.1823023172844"
"SOH","950","665","3754528","50.1905965277127"
"SOH","960","672","3832448","50.1987241575098"
"SOH","970","679","3911168","50.2066901754156"
"SOH","980","686","3990688","50.2144993544973"
"SOH","990","693","4071008","50.2221562816875"
"SOH","1000","700","4152128","50.229665366771"
