"Task","FocalMetric","FocalWeight","RemainingEach","UBase","UPruned","UQuantized","QuantMinusPruned","Winner"
"SOH","Flash","0.44999999999999996","0.18333333333333335","1","0.80793345808483963","0.8656312274302751","0.057697769345435468","Pruned"
"SOH","Flash","0.49999999999999994","0.16666666666666666","1","0.7839856403213602","0.82438659752820109","0.040400957206840893","Pruned"
"SOH","Flash","0.54999999999999993","0.15000000000000002","1","0.76003782255788099","0.78314196762612731","0.023104145068246318","Pruned"
"SOH","Flash","0.59999999999999998","0.13333333333333333","1","0.73609000479440168","0.74189733772405342","0.0058073329296517429","Pruned"
"SOH","Flash","0.65000000000000002","0.11666666666666665","1","0.71214218703092236","0.70065270782197953","-0.011489479208942832","Quantized"
"SOH","Flash","0.70000000000000007","0.099999999999999978","1","0.68819436926744293","0.65940807791990574","-0.028786291347537185","Quantized"
"SOH","Flash","0.75000000000000011","0.083333333333333301","1","0.66424655150396372","0.61816344801783185","-0.046083103486131871","Quantized"
"SOH","Flash","0.80000000000000016","0.06666666666666661","1","0.64029873374048429","0.57691881811575796","-0.063379915624726335","Quantized"
"SOH","Flash","0.8500000000000002","0.049999999999999933","1","0.61635091597700509","0.53567418821368407","-0.080676727763321021","Quantized"
"SOH","RAM","0.25","0.25","1","0.9037247291387569","1.0306097470385702","0.12688501789981332","Pruned"
"SOH","RAM","0.29999999999999999","0.23333333333333331","1","0.89687112042210315","1.0133025072858646","0.11643138686376142","Pruned"
"SOH","RAM","0.34999999999999998","0.21666666666666667","1","0.89001751170544963","0.99599526753315903","0.10597775582770941","Pruned"
"SOH","RAM","0.39999999999999997","0.20000000000000004","1","0.8831639029887961","0.9786880277804535","0.095524124791657394","Pruned"
"SOH","RAM","0.44999999999999996","0.18333333333333335","1","0.87631029427214246","0.96138078802774785","0.085070493755605381","Pruned"
"SOH","RAM","0.49999999999999994","0.16666666666666666","1","0.86945668555548872","0.94407354827504231","0.074616862719553589","Pruned"
"SOH","RAM","0.54999999999999993","0.15000000000000002","1","0.8626030768388353","0.92676630852233677","0.064163231683501465","Pruned"
"SOH","RAM","0.59999999999999998","0.13333333333333333","1","0.85574946812218167","0.90945906876963101","0.05370960064744934","Pruned"
"SOH","RAM","0.65000000000000002","0.11666666666666665","1","0.84889585940552803","0.89215182901692547","0.043255969611397438","Pruned"
"SOH","RAM","0.70000000000000007","0.099999999999999978","1","0.84204225068887451","0.87484458926421982","0.032802338575345313","Pruned"
"SOH","RAM","0.75000000000000011","0.083333333333333301","1","0.83518864197222076","0.85753734951151428","0.022348707539293522","Pruned"
"SOH","RAM","0.80000000000000016","0.06666666666666661","1","0.82833503325556723","0.84023010975880852","0.011895076503241286","Pruned"
"SOH","RAM","0.8500000000000002","0.049999999999999933","1","0.82148142453891371","0.82292287000610298","0.0014414454671892729","Pruned"
"SOH","Energy","0.25","0.25","1","0.9037247291387569","1.0306097470385702","0.12688501789981332","Pruned"
"SOH","Energy","0.29999999999999999","0.23333333333333331","1","0.88079068136221428","1.0475559887420314","0.1667653073798171","Pruned"
"SOH","Energy","0.34999999999999998","0.21666666666666667","1","0.85785663358567188","1.0645022304454927","0.20664559685982087","Pruned"
"SOH","Energy","0.39999999999999997","0.20000000000000004","1","0.83492258580912959","1.0814484721489541","0.24652588633982453","Pruned"
"SOH","Energy","0.44999999999999996","0.18333333333333335","1","0.81198853803258686","1.098394713852415","0.28640617581982819","Pruned"
"SOH","Energy","0.49999999999999994","0.16666666666666666","1","0.78905449025604435","1.1153409555558762","0.32628646529983185","Pruned"
"SOH","Energy","0.54999999999999993","0.15000000000000002","1","0.76612044247950206","1.1322871972593376","0.36616675477983551","Pruned"
"SOH","Energy","0.59999999999999998","0.13333333333333333","1","0.74318639470295955","1.1492334389627987","0.40604704425983917","Pruned"
"SOH","Energy","0.65000000000000002","0.11666666666666665","1","0.72025234692641704","1.1661796806662599","0.44592733373984283","Pruned"
"SOH","Energy","0.70000000000000007","0.099999999999999978","1","0.69731829914987453","1.183125922369721","0.4858076232198465","Pruned"
"SOH","Energy","0.75000000000000011","0.083333333333333301","1","0.67438425137333202","1.2000721640731824","0.52568791269985038","Pruned"
"SOH","Energy","0.80000000000000016","0.06666666666666661","1","0.65145020359678951","1.2170184057766436","0.56556820217985404","Pruned"
"SOH","Energy","0.8500000000000002","0.049999999999999933","1","0.628516155820247","1.2339646474801047","0.6054484916598577","Pruned"
