"Task","WeightAccuracy","WeightFlash","WeightRAM","WeightEnergy","UBase","UPruned","UQuantized","Winner"
"SOC","0","0.10000000000000001","0.84999999999999998","0.050000000000000003","1","0.78251686079113858","0.98191065862997617","Pruned"
"SOC","0","0.10000000000000001","0.90000000000000002","0","1","0.79482436989096894","0.77274998478509238","Quantized"
"SOC","0","0.14999999999999999","0","0.84999999999999998","1","0.57428679060586929","4.3132337144879251","Pruned"
"SOC","0","0.14999999999999999","0.050000000000000003","0.80000000000000004","1","0.58659429970569976","4.1040730406430415","Pruned"
"SOC","0","0.14999999999999999","0.10000000000000001","0.75","1","0.5989018088055299","3.8949123667981573","Pruned"
"SOC","0","0.14999999999999999","0.14999999999999999","0.69999999999999996","1","0.61120931790536026","3.6857516929532732","Pruned"
"SOC","0","0.14999999999999999","0.20000000000000001","0.65000000000000002","1","0.62351682700519062","3.47659101910839","Pruned"
"SOC","0","0.14999999999999999","0.25","0.59999999999999998","1","0.63582433610502087","3.2674303452635058","Pruned"
"SOC","0","0.14999999999999999","0.29999999999999999","0.55000000000000004","1","0.64813184520485123","3.0582696714186226","Pruned"
"SOC","0","0.14999999999999999","0.34999999999999998","0.5","1","0.66043935430468159","2.8491089975737385","Pruned"
"SOC","0","0.14999999999999999","0.40000000000000002","0.45000000000000001","1","0.67274686340451195","2.6399483237288548","Pruned"
"SOC","0","0.14999999999999999","0.45000000000000001","0.40000000000000002","1","0.6850543725043422","2.4307876498839707","Pruned"
"SOC","0","0.14999999999999999","0.5","0.34999999999999998","1","0.69736188160417256","2.2216269760390865","Pruned"
"SOC","0","0.14999999999999999","0.55000000000000004","0.29999999999999999","1","0.70966939070400292","2.0124663021942029","Pruned"
"SOC","0","0.14999999999999999","0.59999999999999998","0.25","1","0.72197689980383317","1.8033056283493192","Pruned"
"SOC","0","0.14999999999999999","0.65000000000000002","0.20000000000000001","1","0.73428440890366353","1.5941449545044355","Pruned"
"SOC","0","0.14999999999999999","0.69999999999999996","0.14999999999999999","1","0.74659191800349367","1.3849842806595516","Pruned"
"SOC","0","0.14999999999999999","0.75","0.10000000000000001","1","0.75889942710332403","1.1758236068146677","Pruned"
"SOC","0","0.14999999999999999","0.80000000000000004","0.050000000000000003","1","0.77120693620315439","0.96666293296978412","Pruned"
"SOC","0","0.14999999999999999","0.84999999999999998","0","1","0.78351444530298464","0.75750225912490021","Quantized"
"SOC","0","0.20000000000000001","0","0.80000000000000004","1","0.57528437511771557","4.0888253149828495","Pruned"
"SOC","0","0.20000000000000001","0.050000000000000003","0.75","1","0.58759188421754582","3.8796646411379649","Pruned"
"SOC","0","0.20000000000000001","0.10000000000000001","0.69999999999999996","1","0.59989939331737618","3.6705039672930808","Pruned"
"SOC","0","0.20000000000000001","0.14999999999999999","0.65000000000000002","1","0.61220690241720654","3.4613432934481976","Pruned"
"SOC","0","0.20000000000000001","0.20000000000000001","0.59999999999999998","1","0.62451441151703679","3.2521826196033135","Pruned"
"SOC","0","0.20000000000000001","0.25","0.55000000000000004","1","0.63682192061686715","3.0430219457584302","Pruned"
"SOC","0","0.20000000000000001","0.29999999999999999","0.5","1","0.6491294297166974","2.8338612719135461","Pruned"
"SOC","0","0.20000000000000001","0.34999999999999998","0.45000000000000001","1","0.66143693881652776","2.6247005980686624","Pruned"
"SOC","0","0.20000000000000001","0.40000000000000002","0.40000000000000002","1","0.67374444791635812","2.4155399242237787","Pruned"
"SOC","0","0.20000000000000001","0.45000000000000001","0.34999999999999998","1","0.68605195701618837","2.2063792503788946","Pruned"
"SOC","0","0.20000000000000001","0.5","0.29999999999999999","1","0.69835946611601873","1.9972185765340109","Pruned"
"SOC","0","0.20000000000000001","0.55000000000000004","0.25","1","0.71066697521584909","1.788057902689127","Pruned"
"SOC","0","0.20000000000000001","0.59999999999999998","0.20000000000000001","1","0.72297448431567934","1.5788972288442433","Pruned"
"SOC","0","0.20000000000000001","0.65000000000000002","0.14999999999999999","1","0.7352819934155097","1.3697365549993594","Pruned"
"SOC","0","0.20000000000000001","0.69999999999999996","0.10000000000000001","1","0.74758950251533995","1.1605758811544757","Pruned"
"SOC","0","0.20000000000000001","0.75","0.050000000000000003","1","0.7598970116151702","0.95141520730959173","Pruned"
"SOC","0","0.20000000000000001","0.80000000000000004","0","1","0.77220452071500056","0.74225453346470804","Quantized"
"SOC","0","0.25","0","0.75","1","0.57628195962956164","3.864416915477773","Pruned"
"SOC","0","0.25","0.050000000000000003","0.69999999999999996","1","0.588589468729392","3.6552562416328889","Pruned"
"SOC","0","0.25","0.10000000000000001","0.65000000000000002","1","0.60089697782922236","3.4460955677880056","Pruned"
"SOC","0","0.25","0.14999999999999999","0.59999999999999998","1","0.61320448692905261","3.2369348939431215","Pruned"
"SOC","0","0.25","0.20000000000000001","0.55000000000000004","1","0.62551199602888297","3.0277742200982383","Pruned"
"SOC","0","0.25","0.25","0.5","1","0.63781950512871322","2.8186135462533537","Pruned"
"SOC","0","0.25","0.29999999999999999","0.45000000000000001","1","0.65012701422854358","2.60945287240847","Pruned"
"SOC","0","0.25","0.34999999999999998","0.40000000000000002","1","0.66243452332837394","2.4002921985635863","Pruned"
"SOC","0","0.25","0.40000000000000002","0.34999999999999998","1","0.67474203242820419","2.1911315247187022","Pruned"
"SOC","0","0.25","0.45000000000000001","0.29999999999999999","1","0.68704954152803455","1.9819708508738185","Pruned"
"SOC","0","0.25","0.5","0.25","1","0.6993570506278648","1.7728101770289348","Pruned"
